,gmt,iata_code,city_iata_code,icao_code,country_iso2,geoname_id,latitude,longitude,airport_name,country_name,phone_number,timezone
20,1,ABC,ABC,LEAB,ES,6299323,38.948334,-1.863333,Los Llanos,Spain,,Europe/Madrid
21,3.30,ABD,ABD,OIAA,IR,6300034,30.363905,48.226597,Abadan,Iran,,Asia/Tehran
22,-5,ABE,ABE,KABE,US,5200013,40.651573,-75.434364,Lehigh Valley International,United States,,America/New_York
23,10,ABH,ABH,YAPH,AU,7668679,-23.65,146.63333,Alpha,Australia,,Australia/Brisbane
24,-6,ABI,ABI,KABI,US,4669647,32.409443,-99.679726,Municipal,United States,,America/Chicago
25,,ABJ,ABJ,DIAP,CI,6296433,5.254879,-3.933015,Felix Houphouet Boigny,,,Africa/Abidjan
26,3,ABK,ABK,HADK,ET,6297274,6.733889,44.26611,Kabri Dar,Ethiopia,,Africa/Addis_Ababa
27,-9,ABL,ABL,PAFM,US,5879298,67.0875,-157.84584,Ambler,United States,,America/Anchorage
28,10,ABM,ABM,YBAM,AU,7730800,-10.942619,142.45033,Bamaga Injinoo,Australia,,Australia/Brisbane
29,,ABO,ABO,DIAO,CI,8260695,5.433333,-3.216667,Aboisso,,,Africa/Abidjan
30,-7,ABQ,ABQ,KABQ,US,5454724,35.049625,-106.617195,Albuquerque International,United States,505-244-7700,America/Denver
31,-6,ABR,ABR,KABR,US,5225860,45.4525,-98.42611,Municipal,United States,,America/Chicago
32,2,ABS,ABS,HEBL,EG,6452622,22.367567,31.609774,Abu Simbel,Egypt,,Africa/Cairo
33,3,ABT,ABT,OEBA,SA,6300010,20.29401,41.64002,Al-Aqiq,Saudi Arabia,,Asia/Riyadh
34,8,ABU,ABU,WATA,ID,7730801,-9.133333,124.88333,Atambua,Indonesia,,Asia/Makassar
35,1,ABV,ABV,DNAA,NG,7649170,9.004614,7.270447,Nnamdi Azikiwe International Airport,Nigeria,,Africa/Lagos
36,10,ABX,ABX,YMAY,AU,6301309,-36.069626,146.95453,Albury,Australia,,Australia/Sydney
37,-5,ABY,ABY,KABY,US,4223821,31.532223,-84.19611,Dougherty County,United States,,America/New_York
38,,ABZ,ABZ,EGPD,GB,6296624,57.200253,-2.204186,Dyce,United Kingdom,,Europe/London
39,-6,ACA,ACA,MMAA,MX,6299826,16.762403,-99.75459,General Juan N. Alvarez International,Mexico,,America/Mexico_City
40,-5,ACB,ACB,KACB,US,4985583,44.983334,-85.21667,Antrim County,United States,,America/Detroit
41,,ACC,ACC,DGAA,GH,2306104,5.60737,-0.171769,Kotoka,Ghana,,Africa/Accra
42,-5,ACD,ACD,SKAD,CO,7668454,8.516667,-77.3,Acandi,Colombia,,America/Bogota
43,,ACE,ACE,GCRR,ES,6297189,28.950668,-13.609059,Lanzarote,Spain,902 404 704,Atlantic/Canary
44,1,ACH,ACH,LSZR,CH,6299723,47.483334,9.566667,Altenrhein,Switzerland,,Europe/Zurich
45,,ACI,ACI,EGJA,GG,6296593,49.709347,-2.215369,The Blaye,Guernsey,,Europe/Guernsey
