,fleet_average_age,callsign,hub_code,iata_code,icao_code,country_iso2,date_founded,iata_prefix_accounting,airline_name,country_name,fleet_size,status,type
32,8.3,CATHAY,HKG,CX,CPA,HK,1946,160,Cathay Pacific,Hong Kong,143,active,scheduled
33,5.9,BRICKYARD,IND,RW,RPA,US,2003,52,Republic Airlines,United States,139,active,scheduled
34,7.8,SAUDIA,JED,SV,SVA,SA,1945,65,Saudi Arabian Airlines,Saudi Arabia,138,active,scheduled
35,4.3,AZUL,VCP,AD,AZU,BR,2008,577,Azul Brazilian Airlines,Brazil,132,active,scheduled
36,5.2,XIAMEN AIR,XMN,MF,CXA,CN,1984,731,Xiamen Airlines,China,132,active,scheduled
37,7.8,GOL,CGH,G3,GLO,BR,2000,127,VRG Linhas Aereas S.A. - Grupo GOL,Brazil,127,active,scheduled
38,16.8,JAZZ,YHZ,QK,JZA,CA,,983,Jazz Aviation LP,Canada,127,active,scheduled
39,5.8,ETIHAD,AUH,EY,ETD,AE,2003,607,Etihad Airways,United Arab Emirates,126,active,scheduled
40,5.1,LAN,SCL,LA,LAN,CL,2004,45,Lan Airlines,Chile,126,active,scheduled
41,7.5,FLAGSHIP,MSP,9E,FLG,UM,2013,430,Endeavor Air,United States Minor Outlying Islands,122,active,scheduled
42,7.4,AIR SHUTTLE,PHX,YV,ASH,UM,1980,533,"Mesa Airlines, Inc.",United States Minor Outlying Islands,122,active,scheduled
43,9.2,Q LINK,TMW,QF,QFA,AU,1920,81,Qantas,Australia,118,active,scheduled
